time_window_start,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,unique_dst_ports,port_diversity,unique_src_ips,unique_dst_ips,unique_connections
70.0,828,1250696,828.0,1250696.0,1510.502415458937,1433.035738579943,1.0,0.0,0.0,0,828,1,0,0.0,4,0.5213923160272318,2,2,2
71.0,824,1247536,824.0,1247536.0,1514.0,1432.9669210560396,1.0,0.0,0.0,0,824,0,0,0.0,2,0.9996557530988982,2,2,2
72.0,827,1252078,827.0,1252078.0,1514.0,1432.1358573129341,1.0,0.0,0.0,0,827,0,0,0.0,2,0.9996192154952341,2,2,2
73.0,826,1247684,826.0,1247684.0,1510.5133171912832,1432.9797657026936,1.0,0.0,0.0,2,825,0,0,0.0024242424242424242,4,0.5120933597506487,2,2,2
74.0,827,1250638,827.0,1250638.0,1512.2587666263603,1433.0109873477923,1.0,0.0,0.0,1,827,0,0,0.0012091898428053204,3,0.6384449076495461,2,2,2
75.0,829,1250860,829.0,1250860.0,1508.8781664656212,1430.9552663410193,1.0,0.0,0.0,0,829,1,0,0.0,4,0.5262742630766312,2,2,2
76.0,824,1247536,824.0,1247536.0,1514.0,1432.9669210560396,1.0,0.0,0.0,0,824,0,0,0.0,3,0.6384426262405615,2,2,2
77.0,825,1250498,825.0,1250498.0,1515.7551515151515,1432.984184485709,1.0,0.0,0.0,0,825,0,0,0.0,2,0.9996173668674234,2,2,2
78.0,904,1254264,904.0,1254264.0,1387.4601769911505,1243.6356912824756,1.0,0.0,0.0,0,904,1,0,0.0,4,0.509225509538737,2,2,2
79.0,917,1256570,917.0,1256570.0,1370.3053435114505,1181.6119450816439,1.0,0.0,0.0,0,917,0,0,0.0,2,0.9629237323868466,2,2,2
80.0,827,1247750,827.0,1247750.0,1508.7666263603385,1432.9927191448464,1.0,0.0,0.0,2,826,0,0,0.002421307506053269,4,0.5120995627174866,2,2,2
81.0,827,1249190,827.0,1249190.0,1510.5078597339782,1432.1218289829712,1.0,0.0,0.0,1,827,0,0,0.0012091898428053204,3,0.6384449076495461,2,2,2
82.0,830,1252374,830.0,1252374.0,1508.8843373493976,1431.859418913893,1.0,0.0,0.0,0,830,1,0,0.0,4,0.5262686636518777,2,2,2
83.0,818,1235532,818.0,1235532.0,1510.4303178484108,1432.8814156088445,0.9987775061124694,0.0,0.0,0,817,0,0,0.0,3,0.6385206517207593,2,2,2
84.0,831,1252342,831.0,1252342.0,1507.0300842358604,1432.1957521888635,1.0,0.0,0.0,0,831,1,0,0.0,4,0.5213489116744748,2,2,2
