frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,udp.srcport,udp.dstport,icmp.type
"96.226125000","54","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","22","0x00000004","0","0","0","1",,,
"96.229428000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","949","0x00000002","1","0","0","0",,,
"96.229430000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","430","0x00000002","1","0","0","0",,,
"96.229431000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","448","0x00000002","1","0","0","0",,,
"96.229431000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","263","0x00000002","1","0","0","0",,,
"96.229432000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","167","0x00000002","1","0","0","0",,,
"96.229432000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","333","0x00000002","1","0","0","0",,,
"96.229433000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","351","0x00000002","1","0","0","0",,,
"96.229433000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","133","0x00000002","1","0","0","0",,,
"96.229434000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","244","0x00000002","1","0","0","0",,,
"96.229434000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","749","0x00000002","1","0","0","0",,,
"96.229434000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","787","0x00000002","1","0","0","0",,,
"96.229435000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","26","0x00000002","1","0","0","0",,,
"96.229435000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","668","0x00000002","1","0","0","0",,,
"96.229436000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","582","0x00000002","1","0","0","0",,,
"96.229437000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","945","0x00000002","1","0","0","0",,,
"96.229437000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","747","0x00000002","1","0","0","0",,,
"96.229437000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","148","0x00000002","1","0","0","0",,,
"96.229438000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","225","0x00000002","1","0","0","0",,,
"96.229439000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","380","0x00000002","1","0","0","0",,,
"96.229439000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","248","0x00000002","1","0","0","0",,,
"96.229440000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","302","0x00000002","1","0","0","0",,,
"96.229440000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","604","0x00000002","1","0","0","0",,,
"96.229441000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","312","0x00000002","1","0","0","0",,,
"96.229441000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","334","0x00000002","1","0","0","0",,,
"96.229442000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","379","0x00000002","1","0","0","0",,,
"96.229442000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","940","0x00000002","1","0","0","0",,,
"96.229442000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","502","0x00000002","1","0","0","0",,,
"96.229443000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","561","0x00000002","1","0","0","0",,,
"96.229532000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","757","0x00000002","1","0","0","0",,,
"96.229533000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","748","0x00000002","1","0","0","0",,,
"96.229678000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","2","0x00000002","1","0","0","0",,,
"96.229679000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","177","0x00000002","1","0","0","0",,,
"96.229680000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","39","0x00000002","1","0","0","0",,,
"96.229680000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","168","0x00000002","1","0","0","0",,,
"96.229784000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","982","0x00000002","1","0","0","0",,,
"96.229786000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","360","0x00000002","1","0","0","0",,,
"96.239598000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","15","52630","0x00000014","0","1","0","1",,,
"96.239599000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","497","52630","0x00000014","0","1","0","1",,,
"96.247251000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","933","0x00000002","1","0","0","0",,,
"96.247284000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","766","0x00000002","1","0","0","0",,,
"96.247285000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","6","0x00000002","1","0","0","0",,,
"96.247286000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","163","0x00000002","1","0","0","0",,,
"96.247254000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","49","52630","0x00000014","0","1","0","1",,,
"96.247288000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","68","52630","0x00000014","0","1","0","1",,,
"96.251124000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","949","52630","0x00000014","0","1","0","1",,,
"96.251125000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","430","52630","0x00000014","0","1","0","1",,,
"96.251125000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","448","52630","0x00000014","0","1","0","1",,,
"96.251125000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","263","52630","0x00000014","0","1","0","1",,,
"96.251991000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","945","52630","0x00000014","0","1","0","1",,,
"96.251992000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","167","52630","0x00000014","0","1","0","1",,,
"96.251992000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","333","52630","0x00000014","0","1","0","1",,,
"96.251992000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","351","52630","0x00000014","0","1","0","1",,,
"96.251992000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","133","52630","0x00000014","0","1","0","1",,,
"96.251993000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","244","52630","0x00000014","0","1","0","1",,,
"96.251993000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","749","52630","0x00000014","0","1","0","1",,,
"96.251993000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","787","52630","0x00000014","0","1","0","1",,,
"96.251994000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","26","52630","0x00000014","0","1","0","1",,,
"96.252081000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","668","52630","0x00000014","0","1","0","1",,,
"96.252081000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","582","52630","0x00000014","0","1","0","1",,,
"96.252081000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","747","52630","0x00000014","0","1","0","1",,,
"96.252082000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","148","52630","0x00000014","0","1","0","1",,,
"96.252082000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","225","52630","0x00000014","0","1","0","1",,,
"96.252082000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","380","52630","0x00000014","0","1","0","1",,,
"96.253370000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","248","52630","0x00000014","0","1","0","1",,,
"96.253370000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","334","52630","0x00000014","0","1","0","1",,,
"96.253370000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","379","52630","0x00000014","0","1","0","1",,,
"96.253371000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","940","52630","0x00000014","0","1","0","1",,,
"96.253371000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","748","52630","0x00000014","0","1","0","1",,,
"96.253371000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","177","52630","0x00000014","0","1","0","1",,,
"96.253681000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","302","52630","0x00000014","0","1","0","1",,,
"96.253682000","54","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a","10.0.0.1","10.0.0.3","6","604","52630","0x00000014","0","1","0","1",,,
